word,old_score,new_score
SENT,163,1530
EGG,158,1518
AURA,181,1481
ILE,212,1472
INRE,218,1466
ENOS,239,1462
ASST,169,1450
PAR,172,1425
STEM,179,1423
ONUS,152,1423
SLO,163,1414
PEN,151,1414
EGAD,177,1412
STEP,182,1410
SEN,168,1394
EDAM,175,1384
UNIT,183,1381
STS,155,1381
URGE,177,1380
ABET,192,1375
ARID,188,1375
EAU,158,1370
SAL,181,1362
SARI,152,1355
NAT,164,1350
RHO,150,1335
AND,184,1323
RENT,159,1316
RATE,149,1313
EELS,152,1302
SPAR,163,1288
ASA,191,1280
OHIO,155,1264
ULNA,148,1260
SAN,150,1259
EARL,156,1254
AVER,170,1249
EVER,191,1247
PAL,157,1245
NEED,178,1240
EIRE,175,1232
CAT,151,1231
ERRS,177,1227
INCA,173,1226
AMP,150,1223
ASTO,150,1218
ELF,158,1212
ARTS,164,1208
INTO,185,1207
RBI,149,1202
NOSE,156,1198
OTT,176,1197
SST,185,1196
ONA,153,1178
ECRU,170,1174
AGRA,152,1167
REN,151,1163
ERGO,164,1162
YEA,150,1159
REA,176,1154
ASIS,154,1143
NEON,175,1135
ODD,158,1118
NESS,163,1102
ETTE,212,1101
TIN,167,1097
ENID,206,1096
AMES,154,1081
ERLE,192,1079
ALP,152,1067
TDS,157,1057
ALIT,181,1026
EMIR,172,1022
ACTS,164,1018
EVEN,169,1016
ARA,177,1009
TAO,166,1009
TRE,153,1009
EEN,154,1000
APT,171,987
SNO,162,984
HEN,152,979
OMIT,183,943
SRA,160,906
REED,161,905
URSA,157,902
OMAN,159,898
TET,149,897
EGOS,161,894
ATIT,154,888
ERG,149,885
TSE,214,883
ORA,166,881
EVIL,173,872
SSTS,180,869
EER,195,866
ATA,150,861
SCAR,155,830
ELAL,187,828
OLA,153,806
LIAR,149,802
REAR,158,783
ERN,168,775
TRA,179,774
ESSE,173,762
NNE,187,753
ERTE,155,743
ELIA,189,726
AGEE,183,707
OBI,166,634
ASTA,178,613
TEL,154,589
ERAT,155,572
STA,148,561
RIOT,154,539
SSS,163,538
REO,164,528
ESTE,182,526
OTOE,159,525
OLIO,151,521
ALAI,167,502
GAS,164,476
ATOP,169,469
URAL,161,414
USES,154,389
REEL,148,351
NEAR,150,324
